YTID, start_seconds, end_seconds, positive_labels
QVVZit-FtUE, 60.0, 70.0, /m/01jt3m,/m/0838f
CPnGlSP2E5Q, 20.0, 30.0, /m/07p_0gm,/m/07rcgpl
8OVL6Sbuv34, 30.0, 40.0, /m/09x0r
nWSsSFSylrw, 30.0, 40.0, /m/04rlf,/m/09x0r
TcrBe95-cJU, 110.0, 120.0, /m/02bk07
FkpXf2_CXpM, 30.0, 40.0, /m/04rlf,/m/07qcpgn
QB2XDKRAG2k, 240.0, 250.0, /m/015lz1,/m/04rlf,/m/064t9,/m/0dl5d
7f7zxQV8JA8, 30.0, 40.0, /m/04rlf,/m/06j6l,/m/09x0r,/m/0ggx5q
rrk9lRWh8Pg, 30.0, 40.0, /m/04rlf
ncdje3JzIvE, 10.0, 20.0, /m/015p6
3EnNEWgb0Vg, 30.0, 40.0, /m/09x0r
IdYcY1ZJbno, 30.0, 40.0, /m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y
y3a-eTYsa0M, 90.0, 100.0, /m/09x0r,/t/dd00125
DqxWWOHVLX4, 30.0, 40.0, /m/01xqw,/m/04rlf,/m/04szw,/m/07y_7
0VOEWddlJVM, 30.0, 40.0, /m/04rlf
0cA8cRqYeqs, 26.0, 31.0, /m/04rlf
hYCLTppFwSM, 30.0, 40.0, /m/02cjck,/m/04rlf
TwKwa0tZPBQ, 150.0, 160.0, /m/07yv9,/m/09ct_,/m/0k5j
IwdgCPMRCBk, 2.0, 12.0, /m/01yrx,/m/068hy,/m/07qrkrw
yE_QaOjOHzw, 10.0, 20.0, /m/04rlf
NBegZEXyZzw, 30.0, 40.0, /m/018vs,/m/0342h,/m/04rlf,/m/09x0r,/m/0g12c5
9i17MR5Bz3o, 30.0, 40.0, /m/04rlf
0JvgnVSOn-k, 30.0, 40.0, /m/09x0r
K5UoAaLWJNA, 50.0, 60.0, /m/02lkt,/m/03mb9,/m/04rlf
8qmTIZdSe5E, 30.0, 40.0, /m/02p0sh1,/m/04rlf
nWQ7UDSQNq0, 10.0, 20.0, /m/0199g
A3QMK8HUQWI, 30.0, 40.0, /m/04rlf,/t/dd00037
4v7IjMbJPiA, 30.0, 40.0, /m/01w250
aoLkJBKS0X4, 30.0, 40.0, /m/04rlf,/m/09x0r
COVQbiENolA, 160.0, 170.0, /m/026t6,/m/02hnl,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md
llIFUTkVaEk, 30.0, 40.0, /m/04rlf,/m/09x0r
3p6h4_n0b5o, 30.0, 40.0, /m/09x0r
oFgR9PeWRUo, 30.0, 40.0, /m/04rlf
kBxUJJGNi_Q, 30.0, 40.0, /m/01v1d8,/m/04rlf
knn0QET_7DY, 30.0, 40.0, /m/06mb1,/t/dd00038
aOifSStG0KQ, 200.0, 210.0, /m/03xq_f,/m/04rlf,/m/09x0r
fD5jNW-VCf4, 30.0, 40.0, /m/04rlf
KbBwOrGv67Y, 0.0, 10.0, /m/015p6,/m/068hy
LaXw_e6ifsY, 30.0, 40.0, /m/04rlf
1WrJAa1eb6Q, 30.0, 40.0, /m/09x0r
2914zT_85Vs, 30.0, 40.0, /m/04rlf,/m/09x0r
He62_LBP_Ao, 30.0, 40.0, /m/04rlf,/m/09x0r
8icXQTjyotM, 30.0, 40.0, /m/04rlf,/m/064t9
yxRrKdO6-BY, 0.0, 10.0, /m/01w250
0cfrgYBmvP8, 0.0, 10.0, /m/09x0r
rdE-le0x-II, 10.0, 20.0, /m/07szfh9
K-SY6FdAlDg, 0.0, 10.0, /m/09x0r
2yBqmMfyv3Q, 30.0, 40.0, /m/01lyv,/m/04rlf,/m/0gg8l
cCwUR0E3rKQ, 15.0, 25.0, /m/09x0r
0MEaUnlmt0U, 420.0, 430.0, /m/04rlf,/m/09x0r,/m/0ytgt,/t/dd00129
C02gHcprbLE, 2.0, 12.0, /m/07rdhzs
5twNhITgPG0, 0.0, 10.0, /m/04rlf,/m/09x0r
qdmKt-mIE08, 60.0, 70.0, /m/07qqyl4
2sQhQaFVugQ, 30.0, 40.0, /m/09x0r
h2-9BgT_PJE, 210.0, 220.0, /m/04rlf
mMFNxgEcX7o, 30.0, 40.0, /m/04rlf,/m/09x0r
FoYc8e9OSQE, 30.0, 40.0, /m/04rlf,/m/09x0r
nmnd9AFqNZg, 30.0, 40.0, /m/09x0r
TajZple1I7g, 200.0, 210.0, /m/015p6,/m/09x0r
rNqbMqNLXx0, 18.0, 28.0, /m/04rlf
fXut6gbOvkE, 30.0, 40.0, /m/015p6,/m/020bb7
hq-3-vfN_w0, 140.0, 150.0, /m/018j2,/m/01lyv,/m/04rlf,/m/04szw,/m/0fx80y
2NQDLeyWsXs, 23.0, 33.0, /m/09x0r
gTFnLHQ4UEM, 30.0, 40.0, /m/09x0r
1P8WBEvybGY, 30.0, 40.0, /m/04rlf
gyFR0-uhRqg, 30.0, 40.0, /m/04rlf,/m/09x0r
D7wjN4FWxsM, 30.0, 40.0, /m/04rlf
-btmNqCwbaI, 30.0, 40.0, /m/09x0r
GWR8e4BJKcE, 30.0, 40.0, /m/04rlf,/m/09x0r
sjJy-E1NLlg, 30.0, 40.0, /m/09x0r
CuMpOAOB2ns, 30.0, 40.0, /m/09x0r
luyW_BStKws, 0.0, 10.0, /m/04rlf
nZ7SybfbDFA, 30.0, 40.0, /m/04rlf,/m/09x0r
RUrMAzMhDho, 30.0, 40.0, /m/04rlf,/m/085jw,/m/0l14j_
qrwq6VW1LHw, 70.0, 80.0, /m/04rlf,/m/0glt670
3vOxiyfSPyM, 30.0, 40.0, /m/04rlf,/m/09x0r
K6F1sogt46U, 30.0, 40.0, /m/05tny_,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk
EJHlTqA70KA, 140.0, 150.0, /m/026t6,/m/02hnl,/m/03t3fj,/m/04rlf,/m/04szw,/m/06rvn
GfluLyKtIjs, 0.0, 10.0, /m/01lyv,/m/0342h,/m/04rlf,/m/04rzd,/m/04szw,/m/09x0r,/m/0fx80y,/m/0gg8l
gPcyHAUkOOo, 30.0, 40.0, /m/01g50p,/m/07jdr,/m/07yv9
VlJT-PV3KYU, 360.0, 370.0, /m/04rlf,/m/09x0r
Ag8rvseSQ3Y, 10.0, 20.0, /m/09x0r,/m/0g6b5
dlWohYnWQ-M, 30.0, 40.0, /m/04rlf
S5vmCoXgCx8, 30.0, 40.0, /m/09x0r
ZPFxgvgcQh0, 30.0, 40.0, /m/03mb9,/m/04rlf,/t/dd00035
Vq9YOj7ySgY, 30.0, 40.0, /m/04rlf,/m/09x0r
VoUqwho0kJE, 11.0, 21.0, /m/04rlf,/m/09x0r
jKPd7sXwEbo, 30.0, 40.0, /m/015lz1,/m/04rlf,/m/064t9
7nX9pwftZ_s, 580.0, 590.0, /m/07rrlb6,/m/09x0r
rE5fq8nVUIE, 70.0, 80.0, /m/04rlf,/m/09x0r
5Q8NAaAQ9p8, 30.0, 40.0, /m/04rlf,/t/dd00003
pes5hjZBX0k, 280.0, 290.0, /m/028ght,/m/04rlf,/m/04szw,/m/05pd6,/m/07y_7,/m/0ggq0m,/m/0l14_3,/m/0l14j_
CD6KVK8kt_k, 30.0, 40.0, /m/04rlf,/m/09x0r
bI8NsSnEq2Q, 30.0, 40.0, /m/09x0r
qEbzuu2CYYs, 20.0, 30.0, /m/09x0r
OiLTEzIHyBw, 30.0, 40.0, /m/09x0r
P7mU-mJUa3U, 310.0, 320.0, /m/026t6,/m/03t3fj,/m/06rvn,/m/0l14md
NjKm_B08exQ, 30.0, 40.0, /m/09x0r
C9PWf7c9V1M, 460.0, 470.0, /m/015lz1,/m/0164x2,/m/04rlf
IxZccCsTnY8, 30.0, 40.0, /m/04rlf
2mRNIWfv4_E, 21.0, 31.0, /m/02mk9,/m/07pb8fc,/t/dd00066
SXMb-n8VdcA, 10.0, 20.0, /m/02zsn,/m/06h7j,/m/09x0r,/t/dd00128
cxABnrAXJ0c, 60.0, 70.0, /m/03dnzn
4fEHatQM-rE, 100.0, 110.0, /m/04rlf,/m/07pkxdp
yGdZ903msI0, 70.0, 80.0, /m/03qjg,/m/04rlf
5xdz3dX9dak, 30.0, 40.0, /m/04rlf,/m/09x0r
DOqf4vx0glE, 30.0, 40.0, /m/09x0r
dlgRau2hxpA, 30.0, 40.0, /m/04rlf
t7o6y_6pKXQ, 30.0, 40.0, /m/0j2kx
CLA7JuJE44A, 30.0, 40.0, /m/04rlf,/m/064t9
IdgM-Mk3_ME, 100.0, 110.0, /m/04rlf
EdQ5ZVelZR4, 30.0, 40.0, /m/04rlf,/m/09x0r
ap5fd9Z6tnU, 180.0, 190.0, /m/04rlf,/m/07qsvvw
QQdJMwGSbx4, 30.0, 40.0, /m/04rlf
SPn5f4xInDo, 30.0, 40.0, /m/09x0r
D1jk5OxuOB0, 70.0, 80.0, /m/09x0r
YbRaKwrz7lE, 30.0, 40.0, /m/04rlf
Rkahmt2nN3c, 10.0, 20.0, /m/03wwcy,/m/04rlf
bvjvZ3fiPdQ, 30.0, 40.0, /m/04rlf,/m/09x0r
CtWurjLBn2g, 30.0, 40.0, /m/04rlf,/m/07s72n
5L3sgMPunGk, 570.0, 580.0, /m/07k1x,/m/09x0r
VJ8uPcKo0e4, 30.0, 40.0, /m/04rlf,/m/09x0r
hXY4Kkqjyrc, 330.0, 340.0, /m/026z9,/m/02lkt,/m/04rlf,/m/0ggx5q
xwXuJhVeInc, 110.0, 120.0, /m/04_sv,/m/07yv9,/m/09x0r,/t/dd00128
0hD23KF9uT4, 30.0, 40.0, /m/09x0r
3jxyH4AbqXg, 30.0, 40.0, /m/04rlf,/m/09x0r
BEeQQZdt5ok, 30.0, 40.0, /m/04rlf
O0DtMq7RubU, 30.0, 40.0, /m/01v1d8,/m/04rlf,/m/09x0r
OQB3GntUOn0, 30.0, 40.0, /m/019jd,/m/056ks2
DjyhPvjr_rs, 80.0, 90.0, /m/07k1x,/m/09x0r
nuFVq3gBXzI, 30.0, 40.0, /m/04rlf
dHa6nAVeMz4, 30.0, 40.0, /m/04rlf
udDTP5aXU0A, 10.0, 20.0, /m/07swgks
am9bF0jbn8A, 30.0, 40.0, /m/04rlf,/m/09x0r
NIyxpI8SzHA, 70.0, 80.0, /m/07yv9,/m/09x0r,/m/0k4j
u3U5DjYc9C8, 30.0, 40.0, /m/04rlf
tIVn06ELkqQ, 30.0, 40.0, /m/01lyv,/m/04rlf
T2J5IlvbHPg, 30.0, 40.0, /m/04rlf
VYFvy--4dnk, 30.0, 40.0, /m/02v2lh,/m/04rlf,/m/07sbbz2
3UMPtTNznfQ, 20.0, 30.0, /m/07pbtc8,/m/09x0r,/t/dd00129
M9PDBg1XrnQ, 370.0, 380.0, /m/09x0r,/t/dd00129
09cfCh0wiC8, 30.0, 40.0, /m/04rlf,/m/09x0r
3de4GT5RGL4, 30.0, 40.0, /m/04rlf,/m/09x0r
SvUbsaO33OA, 560.0, 570.0, /m/01h3n,/m/03vt0,/m/09x0r,/t/dd00129
X7_81crPGEk, 30.0, 40.0, /m/04rlf,/m/09x0r
nzr9msTJNRY, 110.0, 120.0, /m/09x0r,/m/0bt9lr,/m/0jbk
8_FZ-FWF7B4, 10.0, 20.0, /m/04_sv,/m/07yv9
iJ9WxiPk2ZQ, 30.0, 40.0, /m/04rlf
x2k-def9yWo, 30.0, 40.0, /m/09x0r
BIakRgv7eL8, 30.0, 40.0, /m/04rlf,/m/06j6l
3YDHTfCASHI, 30.0, 40.0, /m/04rlf
a2I4-aVUCrc, 360.0, 370.0, /m/09x0r
fMV9bqLQmnY, 30.0, 40.0, /m/07yv9,/m/09x0r,/m/0k4j
dFzYpVj22tE, 30.0, 40.0, /m/04rlf
PikeCNRnQSU, 170.0, 180.0, /m/026t6,/m/02hnl,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md
e_7_kuFlYNE, 480.0, 490.0, /m/015lz1,/m/04rlf,/m/07sr1lc,/t/dd00126
6VE0ZjJtHw0, 6.0, 16.0, /m/01bjv,/m/07yv9
i8lhBqISIyc, 90.0, 100.0, /m/02lkt,/m/04rlf,/m/07gxw,/m/0cfdd
Pr1W8hEQT98, 30.0, 40.0, /m/04rlf
d1qlAyKRhVA, 30.0, 40.0, /m/04rlf
UcsssbgZyw8, 170.0, 180.0, /m/09x0r
tIgvxozG02s, 100.0, 110.0, /m/09x0r,/t/dd00125
yFEYGSibEAE, 30.0, 40.0, /m/04rlf
U8AUmpwgGZw, 30.0, 40.0, /m/04rlf,/m/09x0r
-VWqblSPgMY, 30.0, 40.0, /m/07q5rw0,/m/09x0r
VCzTcVCxu54, 30.0, 40.0, /m/04rlf,/m/09x0r
UF0oTB55k6o, 440.0, 450.0, /m/07yv9,/m/0cmf2,/m/0k5j
FUnTIckl0TM, 30.0, 40.0, /m/04rlf,/m/09x0r
GB7fCPXsOWI, 120.0, 130.0, /m/09x0r,/t/dd00129
IoeIUrzOIuY, 30.0, 40.0, /m/018vs,/m/02sgy,/m/0342h,/m/03mb9,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y
smOoju8E-bE, 70.0, 80.0, /m/01h8n0,/m/09x0r
XuhfG4fVvQ0, 120.0, 130.0, /m/04rlf,/m/05w3f
-Rk2d8BmbPQ, 30.0, 40.0, /m/04rlf,/m/09x0r
SGEe6aSwub0, 50.0, 60.0, /m/04rlf,/m/09x0r
bHgDvPpPrCs, 20.0, 30.0, /m/04rlf,/m/09x0r,/t/dd00125
WUSxNd-0gCo, 130.0, 140.0, /m/0342h,/m/04rlf,/m/04szw,/m/085jw,/m/0fx80y
k4hri6w4Oqg, 200.0, 210.0, /m/09x0r,/t/dd00125
jTS_8veBK1o, 80.0, 90.0, /m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y
35HXLjf5u2Y, 120.0, 130.0, /m/04rlf,/m/05r6t,/m/06by7
kozyabzh8Gs, 220.0, 230.0, /m/01wy6,/m/04rlf,/m/04szw,/m/085jw
IvtniYfrssc, 30.0, 40.0, /m/04rlf,/m/0g12c5
MbsjemycodY, 30.0, 40.0, /m/04rlf
HgGboIgR4Gw, 400.0, 410.0, /m/01s0ps,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0l14qv
F0gF-pw_7q8, 60.0, 70.0, /m/0342h,/m/04rlf,/m/06by7
blmUexHaahQ, 30.0, 40.0, /m/04rlf
tfCVOwNnNx4, 30.0, 40.0, /m/09x0r
ILHCht6hxdU, 30.0, 40.0, /m/04rlf,/m/04szw,/m/07y_7
LTdEjx09wmE, 30.0, 40.0, /m/04rlf
A6GZk9gDIjA, 30.0, 40.0, /m/04rlf
DruhFzqxdiw, 30.0, 40.0, /m/04rlf
GIqDb76LgL4, 290.0, 300.0, /m/09x0r,/t/dd00129
oXV-y4JNSo4, 220.0, 230.0, /m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j
Q36LHuDdtNM, 130.0, 140.0, /m/09x0r
QCAIEfIjRYg, 30.0, 40.0, /m/019jd,/m/02rlv9,/m/03m9d0z,/m/05kq4,/t/dd00092
-DvtZJrFOyg, 30.0, 40.0, /m/025rv6n,/m/07st89h
VBUr2c-Z5S0, 140.0, 150.0, /m/09x0r,/t/dd00125
e_9DLHQrQw8, 300.0, 310.0, /m/015lz1,/m/04rlf
_b-hpbh-isY, 30.0, 40.0, /t/dd00129
UGRWzvzIPb8, 130.0, 140.0, /m/09x0r
NQUyCCYTRsY, 29.0, 39.0, /m/07yv9,/m/09x0r
HxKSZL7D3Ro, 100.0, 110.0, /m/09x0r
SQohOhXs6Ic, 70.0, 80.0, /m/0838f
0AECium9TU8, 80.0, 90.0, /m/09x0r,/t/dd00125
_TosboksfrY, 30.0, 40.0, /m/04rlf
fGoxDp6fgNI, 0.0, 10.0, /t/dd00129
hgWPQOnXCpk, 30.0, 40.0, /m/04rlf,/m/09x0r
R6MCD58zsR0, 140.0, 150.0, /m/04rlf,/m/0g293
viS5mLf9qPk, 30.0, 40.0, /m/04rlf
f5KPbes0uAc, 50.0, 60.0, /m/04rlf,/m/0g6b5
gaFDz5XO_lw, 30.0, 40.0, /m/09x0r
7KsYdkPu3lM, 11.0, 21.0, /m/04rlf,/m/09x0r
_-t42p8GNmU, 30.0, 40.0, /m/04rlf
2r8co9GhuFc, 30.0, 40.0, /m/09x0r
pU9AamUIMMw, 140.0, 150.0, /m/0dwsp,/m/0dwtp,/m/0j45pbj
PS6891oeJUI, 340.0, 350.0, /m/09x0r,/t/dd00125
vqfWm96zcD8, 30.0, 40.0, /m/09x0r
O-hJjz4Hngk, 30.0, 40.0, /m/01m4t,/m/09x0r
9tJKT10dkIY, 30.0, 40.0, /m/02mk9,/m/07pb8fc
m2mitGznn80, 30.0, 40.0, /m/0jbk
AiUcCZpJITo, 30.0, 40.0, /m/04rlf
yebACtHSomw, 20.0, 30.0, /m/07yv9
i7Uv1h6yfJ0, 60.0, 70.0, /m/01v1d8,/m/02x8m,/m/04rlf,/m/04szw,/m/0cfdd
Detryytpsi8, 30.0, 40.0, /m/09x0r
lCCuS6VsQVE, 30.0, 40.0, /m/04rlf
vEwbj1jN7KQ, 570.0, 580.0, /m/0463cq4,/m/09x0r
KM7DUdPgc-s, 30.0, 40.0, /m/07qjznt,/m/09x0r
ZmBWiye-Sm4, 480.0, 490.0, /m/09x0r
RoOmzhuEqKE, 220.0, 230.0, /m/018vs,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y
sMxPmvEjFts, 30.0, 40.0, /m/04_sv,/m/07yv9
H0_ubyPlIg8, 30.0, 40.0, /m/04rlf
aQm6oEVqO7Y, 30.0, 40.0, /m/04rlf,/m/04szw,/m/09x0r
lI2azCZQ1UI, 110.0, 120.0, /m/04rlf,/m/0glt670
UCz3GL0DIgw, 30.0, 40.0, /m/04rlf
94btEJMHYtk, 50.0, 60.0, /m/015lz1
nkSaytkMle0, 30.0, 40.0, /m/09x0r
494LCVj_9J8, 11.0, 21.0, /m/04rlf
76mkpdPs0m0, 420.0, 430.0, /m/015p6,/m/025rv6n,/m/09b5t,/m/0ch8v
ys2LaTrZpZY, 30.0, 40.0, /m/04rlf,/m/04szw,/m/07y_7
Q1SGJhFAO2w, 30.0, 40.0, /m/04rlf,/m/04szw,/m/07y_7
HFapeKrAY00, 30.0, 40.0, /m/09x0r
0mpasXLBmIc, 200.0, 210.0, /m/04rlf,/m/07szfh9
y4QxsiwehQs, 80.0, 90.0, /m/012f08,/m/01bjv,/m/07yv9,/m/09x0r
5f0f3I91aVs, 180.0, 190.0, /m/04rlf,/m/0ggx5q
tg_hK0FY27Q, 30.0, 40.0, /m/04rlf,/m/09x0r
cO0WE20bpTM, 430.0, 440.0, /m/04rlf,/m/09x0r,/t/dd00125
aO3S6BFF2GE, 100.0, 110.0, /m/04szw,/m/05148p4,/m/05r5c
szjqrQPnEAU, 160.0, 170.0, /m/07s04w4,/m/09x0r
hCDm6QLcX34, 190.0, 200.0, /m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07rwm0c
TRkL4gOaLRM, 540.0, 550.0, /m/07k1x,/m/09x0r
Smlx19VlC3Q, 30.0, 40.0, /m/04rlf
SeLdyH_OdRQ, 30.0, 40.0, /m/09x0r
puqqTPCmnKU, 30.0, 40.0, /m/04rlf,/m/085jw
qn0BYGTCx2U, 360.0, 370.0, /m/04_sv,/m/07yv9
ABl07deJQc8, 30.0, 40.0, /m/0342h,/m/04rlf,/m/04szw,/m/06by7,/m/0fx80y
0DHEW92scUU, 30.0, 40.0, /m/04rlf,/m/0ggq0m,/m/0l14j_
-qVFkK8IIaM, 10.0, 20.0, /m/01j3sz,/m/07s04w4,/m/09x0r
08yVgf2UgPg, 30.0, 40.0, /m/04rlf
